Date,Open,High,Low,Close,Adj Close,Volume
2012-01-26,168.050003,168.309998,167.050003,167.270004,167.270004,19143800
2012-01-27,167.440002,169.000000,167.410004,168.970001,168.970001,13030100
2012-01-30,168.190002,168.539993,167.740005,168.029999,168.029999,8438000
2012-01-31,169.770004,169.860001,167.720001,169.309998,169.309998,11192500
2012-02-01,169.750000,170.179993,169.080002,169.559998,169.559998,7734200
2012-02-02,169.960007,171.229996,169.679993,171.050003,171.050003,11509600
2012-02-03,169.880005,170.139999,167.509995,167.639999,167.639999,23355300
2012-02-06,166.960007,167.679993,166.610001,167.179993,167.179993,8807400
2012-02-07,167.380005,170.089996,167.149994,169.699997,169.699997,11614300
2012-02-08,169.259995,169.960007,167.500000,168.500000,168.500000,10655500
2012-02-09,170.009995,170.369995,167.669998,168.020004,168.020004,16085200
2012-02-10,166.490005,167.639999,166.330002,167.139999,167.139999,10326800
2012-02-13,167.330002,167.940002,166.740005,167.509995,167.509995,7088900
2012-02-14,167.649994,167.929993,166.419998,167.119995,167.119995,7862500
2012-02-15,168.630005,168.750000,167.190002,168.110001,168.110001,11638500
2012-02-16,166.330002,168.139999,166.169998,168.000000,168.000000,10734000
2012-02-17,168.289993,168.330002,166.869995,167.350006,167.350006,7286900
2012-02-21,169.649994,171.070007,169.589996,171.020004,171.020004,13611200
2012-02-22,170.399994,173.169998,170.190002,172.940002,172.940002,16676500
2012-02-23,172.690002,173.770004,172.279999,173.020004,173.020004,11654200
2012-02-24,172.630005,173.039993,172.000000,172.229996,172.229996,9293700
2012-02-27,172.139999,172.919998,171.580002,171.699997,171.699997,7340900
2012-02-28,172.839996,174.000000,172.600006,173.490005,173.490005,12413000
2012-02-29,173.190002,173.589996,164.000000,164.289993,164.289993,44149000
2012-03-01,166.100006,167.720001,165.750000,166.610001,166.610001,19200700
2012-03-02,166.229996,166.830002,165.630005,166.339996,166.339996,9298100
2012-03-05,165.770004,165.910004,164.550003,165.649994,165.649994,12071400
2012-03-06,162.149994,162.809998,161.779999,162.699997,162.699997,15533200
2012-03-07,162.759995,164.020004,162.509995,163.630005,163.630005,9553300
2012-03-08,164.740005,165.550003,164.050003,165.279999,165.279999,8858200
2012-03-09,163.639999,166.570007,163.250000,166.380005,166.380005,13698200
2012-03-12,165.330002,165.580002,164.399994,165.070007,165.070007,6523800
2012-03-13,163.940002,165.410004,161.429993,162.300003,162.300003,20047000
2012-03-14,159.610001,160.580002,158.800003,159.570007,159.570007,28822100
2012-03-15,159.729996,161.979996,159.279999,161.080002,161.080002,12689300
2012-03-16,160.080002,161.539993,159.919998,161.300003,161.300003,12549200
2012-03-19,160.850006,162.300003,160.720001,161.589996,161.589996,9920800
2012-03-20,160.199997,161.080002,159.770004,160.130005,160.130005,11643700
2012-03-21,160.630005,161.479996,160.149994,160.210007,160.210007,6672700
2012-03-22,158.199997,159.710007,158.130005,159.570007,159.570007,11107700
2012-03-23,160.880005,161.880005,160.520004,161.529999,161.529999,10689000
2012-03-26,163.169998,164.539993,162.949997,164.399994,164.399994,13226700
2012-03-27,164.520004,164.889999,163.130005,163.240005,163.240005,10908700
2012-03-28,162.710007,162.979996,160.660004,161.509995,161.509995,11008200
2012-03-29,161.139999,161.460007,159.809998,161.279999,161.279999,11026900
2012-03-30,161.669998,162.330002,161.220001,162.119995,162.119995,7534000
2012-04-02,161.960007,163.559998,161.809998,162.940002,162.940002,7541700
2012-04-03,163.229996,163.229996,159.169998,159.889999,159.889999,16822300
2012-04-04,157.699997,158.029999,156.580002,157.210007,157.210007,15975600
2012-04-05,157.869995,158.679993,157.779999,158.309998,158.309998,8967700
2012-04-09,159.720001,160.009995,158.910004,159.369995,159.369995,8245800
2012-04-10,159.660004,161.580002,158.470001,161.100006,161.100006,14288500
2012-04-11,161.199997,161.539993,160.740005,161.070007,161.070007,10005400
2012-04-12,160.740005,163.199997,160.460007,162.699997,162.699997,9229900
2012-04-13,162.449997,162.460007,160.169998,160.850006,160.850006,10041000
2012-04-16,160.509995,161.179993,159.529999,160.460007,160.460007,6670500
2012-04-17,160.539993,160.960007,158.750000,160.250000,160.250000,7587100
2012-04-18,159.490005,160.119995,159.070007,159.309998,159.309998,7463000
2012-04-19,160.000000,160.639999,159.020004,159.429993,159.429993,9914400
2012-04-20,159.250000,159.910004,159.199997,159.539993,159.539993,9148800
2012-04-23,158.199997,159.179993,157.880005,159.070007,159.070007,8876800
2012-04-24,159.630005,160.179993,159.289993,159.300003,159.300003,5200600
2012-04-25,159.479996,159.960007,157.759995,159.619995,159.619995,15093700
2012-04-26,160.460007,161.380005,160.100006,161.029999,161.029999,10918700
2012-04-27,161.779999,161.970001,161.149994,161.380005,161.380005,8906600
2012-04-30,160.490005,161.880005,160.309998,161.880005,161.880005,8007300
2012-05-01,162.089996,162.179993,160.889999,161.320007,161.320007,7414800
2012-05-02,160.740005,160.779999,159.759995,160.589996,160.589996,5632300
2012-05-03,159.160004,159.479996,158.369995,158.970001,158.970001,13172000
2012-05-04,158.820007,159.979996,158.570007,159.470001,159.470001,11389600
2012-05-07,159.309998,159.339996,158.449997,159.080002,159.080002,4927800
2012-05-08,156.610001,156.729996,154.919998,156.000000,156.000000,17852300
2012-05-09,154.100006,154.979996,153.600006,154.470001,154.470001,13864000
2012-05-10,155.160004,155.570007,154.639999,154.770004,154.770004,7460100
2012-05-11,153.440002,154.470001,153.240005,153.559998,153.559998,8285600
2012-05-14,151.580002,152.029999,151.000000,151.330002,151.330002,13388200
2012-05-15,151.160004,151.440002,149.630005,149.740005,149.740005,13354500
2012-05-16,149.479996,150.699997,148.600006,149.460007,149.460007,16750700
2012-05-17,150.830002,153.399994,150.380005,152.800003,152.800003,18080700
2012-05-18,154.460007,155.130005,153.970001,154.550003,154.550003,12994200
2012-05-21,154.110001,154.949997,153.860001,154.649994,154.649994,7542400
2012-05-22,153.589996,154.419998,151.550003,152.080002,152.080002,11302700
2012-05-23,151.500000,151.839996,148.839996,151.619995,151.619995,18854500
2012-05-24,152.710007,152.910004,150.619995,151.410004,151.410004,9697100
2012-05-25,151.889999,152.850006,151.630005,152.679993,152.679993,6212900
2012-05-29,153.470001,153.619995,150.250000,151.020004,151.020004,11243100
2012-05-30,149.740005,152.380005,148.529999,151.910004,151.910004,16764800
