Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,122.320000,123.750000,122.320000,123.550003,109.823654,11753700
2015-08-04,123.160004,123.320000,122.459999,122.570000,108.952538,6448800
2015-08-05,121.769997,121.910004,121.190002,121.650002,108.134758,7574400
2015-08-06,122.000000,122.870003,122.000000,122.730003,109.094734,6118100
2015-08-07,123.300003,124.500000,123.239998,124.339996,110.525894,8317000
2015-08-10,123.410004,123.570000,122.519997,122.800003,109.157005,7461700
2015-08-11,124.300003,125.129997,124.160004,124.750000,110.890312,11145700
2015-08-12,124.930000,125.709999,124.000000,124.070000,110.285919,8455200
2015-08-13,123.830002,124.419998,123.220001,123.669998,109.930336,7691400
2015-08-14,123.470001,124.370003,123.199997,123.959999,110.188133,4324700
2015-08-17,124.709999,125.099998,124.389999,124.519997,110.685875,7880300
2015-08-18,123.800003,124.290001,123.379997,123.540001,109.814751,5024300
2015-08-19,123.059998,124.930000,122.989998,124.760002,110.899246,10736000
2015-08-20,125.370003,126.099998,125.180000,126.019997,112.019241,9078300
2015-08-21,126.160004,126.739998,125.589996,126.400002,112.357056,10718300
2015-08-24,128.309998,128.919998,125.820000,126.360001,112.321457,16663400
2015-08-25,124.550003,124.790001,123.559998,124.330002,110.517006,15354800
2015-08-26,123.000000,123.510002,121.360001,121.930000,108.383636,16429900
2015-08-27,121.820000,122.870003,121.650002,122.000000,108.445839,9127000
2015-08-28,123.150002,123.470001,122.230003,122.360001,108.765900,9946200
2015-08-31,123.360001,123.470001,121.339996,121.419998,107.930321,8617600
2015-09-01,121.639999,122.089996,120.980003,122.029999,108.707985,15298200
2015-09-02,121.419998,121.980003,120.860001,120.980003,107.772644,9515200
2015-09-03,121.379997,121.669998,120.709999,121.570000,108.298187,7042500
2015-09-04,122.449997,122.930000,121.820000,122.680000,109.287025,7951300
2015-09-08,121.379997,121.559998,120.760002,120.870003,107.674637,7049500
2015-09-09,119.629997,121.709999,119.559998,121.449997,108.191307,7441900
2015-09-10,121.019997,121.190002,120.449997,120.629997,107.460823,6789700
2015-09-11,121.470001,122.080002,121.330002,121.389999,108.137863,5890900
2015-09-14,121.949997,122.150002,121.279999,121.580002,108.307114,4221700
